zipcode,floodzones in zipcode,area flood score 1,area flood score 2,avg area flood score
98014,"['AE', 'X', 'AO', 'C', 'AOB', 'A', 'A05', 'A06']",2.625,2.5,2.5625
98045,"['AE', 'AO', 'X', 'AOB', 'D', 'C', 'A', 'AH', 'A05', 'B', 'A09', 'AHB', 'A06', 'A03']",2.571428571428572,2.5,2.5357142857142856
98178,"['X', 'AE']",2.5,2.0,2.25
98005,"['X', 'AE', 'B']",2.333333333333333,2.0,2.166666666666667
98031,"['X', 'AE', 'A', 'C']",2.25,2.0,2.125
98107,"['X', 'C']",1.5,1.0,1.25
98006,"['X', 'AE', 'A']",2.6666666666666665,2.333333333333333,2.5
98155,"['X', 'A', 'AE', 'C']",2.25,2.0,2.125
98028,"['AE', 'X', 'A']",2.6666666666666665,2.333333333333333,2.5
98288,"['AE', 'X', 'A', 'D', 'A07']",2.4,2.2,2.3
98112,['X'],2.0,1.0,1.5
98051,"['X', 'D']",1.5,1.0,1.25
98052,"['AE', 'X', 'A', 'A06', 'B']",2.6,2.4,2.5
98251,['AE'],3.0,3.0,3.0
98074,"['X', 'AE', 'C']",2.0,1.6666666666666667,1.8333333333333333
98199,"['X', 'A']",2.5,2.0,2.25
98148,"['X', 'C', 'A']",2.0,1.6666666666666667,1.8333333333333333
98116,"['X', 'A', 'C']",2.0,1.6666666666666667,1.8333333333333333
98077,"['X', 'A', 'AE']",2.6666666666666665,2.333333333333333,2.5
98106,"['X', 'AE']",2.5,2.0,2.25
98024,"['AE', 'X', 'AO', 'C', 'A', 'AOB', 'A05']",2.571428571428572,2.4285714285714284,2.5
98010,"['X', 'C']",1.5,1.0,1.25
98198,"['X', 'A', 'AE', 'C', 'VE']",2.4,2.2,2.3
98166,"['X', 'A', 'AE', 'AO', 'VE', 'C', 'A03']",2.571428571428572,2.4285714285714284,2.5
98224,"['AE', 'D', 'X', 'A', 'A06', 'C']",2.1666666666666665,2.0,2.083333333333333
98136,"['X', 'A']",2.5,2.0,2.25
98056,"['X', 'AE']",2.5,2.0,2.25
98177,"['X', 'A', 'C']",2.0,1.6666666666666667,1.8333333333333333
98003,['X'],2.0,1.0,1.5
98053,"['X', 'AE', 'A']",2.6666666666666665,2.333333333333333,2.5
98059,"['X', 'AE', 'C']",2.0,1.6666666666666667,1.8333333333333333
98126,"['X', 'C']",1.5,1.0,1.25
98103,['X'],2.0,1.0,1.5
98109,['X'],2.0,1.0,1.5
98146,"['X', 'A', 'VE', 'C', 'AO']",2.4,2.2,2.3
98075,"['AE', 'X', 'A', 'C']",2.25,2.0,2.125
98039,['X'],2.0,1.0,1.5
98144,['X'],2.0,1.0,1.5
98023,"['X', 'A', 'C']",2.0,1.6666666666666667,1.8333333333333333
98072,"['X', 'AE']",2.5,2.0,2.25
98011,"['X', 'C', 'A06', 'AE']",2.25,2.0,2.125
98034,['X'],2.0,1.0,1.5
98122,['X'],2.0,1.0,1.5
98102,['X'],2.0,1.0,1.5
98033,"['X', 'AO']",2.5,2.0,2.25
98101,"['X', 'A']",2.5,2.0,2.25
98029,"['X', 'AE']",2.5,2.0,2.25
98105,['X'],2.0,1.0,1.5
98007,"['X', 'AE']",2.5,2.0,2.25
98302,['X'],2.0,1.0,1.5
98025,['AE'],3.0,3.0,3.0
98201,['X'],2.0,1.0,1.5
98134,['X'],2.0,1.0,1.5
98000,['X'],2.0,1.0,1.5
98035,"['AE', 'X']",2.5,2.0,2.25
98111,"['X', 'A']",2.5,2.0,2.25
93002,['X'],2.0,1.0,1.5
98071,['X'],2.0,1.0,1.5
98068,"['AE', 'D', 'C']",1.6666666666666667,1.6666666666666667,1.6666666666666667
98064,['X'],2.0,1.0,1.5
98104,"['X', 'AO', 'A', 'AOB']",2.75,2.5,2.625
96168,['X'],2.0,1.0,1.5
98138,['X'],2.0,1.0,1.5
98050,['X'],2.0,1.0,1.5
98121,['X'],2.0,1.0,1.5
